scientific_name,common_name,functional_group,commercial_group,tonnes
Engraulis ringens,Anchoveta,Small pelagics (<30 cm),Anchovies,20773534
Anchoviella,Anchovies,Small pelagics (<30 cm),Anchovies,92711
Engraulidae,"Anchovies, round herrings",Small pelagics (<30 cm),Anchovies,7298675
Engraulis anchoita,Argentine anchovy,Small pelagics (<30 cm),Anchovies,161
Cetengraulis edentulus,Atlantic anchoveta,Small pelagics (<30 cm),Anchovies,114386
Anchoa choerostoma,Bermuda anchovy,Small pelagics (<30 cm),Anchovies,125
Anchoa hepsetus,Broadstriped anchovy,Small pelagics (<30 cm),Anchovies,2385
Engraulis mordax,Californian anchovy,Small pelagics (<30 cm),Anchovies,382833
Encrasicholina devisi,Devis anchovy,Small pelagics (<30 cm),Anchovies,4211
Engraulis encrasicolus,European anchovy,Small pelagics (<30 cm),Anchovies,1567680
Stolephorus,Garment anchovies,Small pelagics (<30 cm),Anchovies,5044000
Stolephorus indicus,Indian anchovy,Small pelagics (<30 cm),Anchovies,485
Engraulis japonicus,Japanese anchovy,Small pelagics (<30 cm),Anchovies,18809882
Anchoa nasus,Longnose anchovy,Small pelagics (<30 cm),Anchovies,195690
Cetengraulis mysticetus,Pacific anchoveta,Small pelagics (<30 cm),Anchovies,2790456
Encrasicholina heteroloba,Shorthead anchovy,Small pelagics (<30 cm),Anchovies,19425
Engraulis capensis,Southern African anchovy,Small pelagics (<30 cm),Anchovies,3638990
Anchoa spinifer,Spicule anchovy,Small pelagics (<30 cm),Anchovies,16
Stolephorus waitei,Spotty face anchovy,Small pelagics (<30 cm),Anchovies,485
Anchoa mitchilli,Bay anchovy,Small pelagics (<30 cm),Anchovies,12
Thryssa,Thryssas,Small reef assoc. fish (<30 cm),Anchovies,202035
Merluccius capensis,Shallow-water Cape hake,Large bathydemersals (>=90 cm),Cod-likes,357888
Macrouridae,"Grenadiers, rattails",Large bathypelagics (>=90 cm),Cod-likes,20465
Coryphaenoides rupestris,Roundnose grenadier,Large bathypelagics (>=90 cm),Cod-likes,14
Gadus morhua,Atlantic cod,Large benthopelagics (>=90 cm),Cod-likes,43402
Phycis blennoides,Greater forkbeard,Large benthopelagics (>=90 cm),Cod-likes,7860
Macruronus magellanicus,Patagonian grenadier,Large benthopelagics (>=90 cm),Cod-likes,1594756
Pollachius pollachius,Pollack,Large benthopelagics (>=90 cm),Cod-likes,41284
Merluccius australis,Southern hake,Large benthopelagics (>=90 cm),Cod-likes,701115
Macruronus novaezelandiae,Blue grenadier,Large demersals (>=90 cm),Cod-likes,107832
Molva dypterygia,Blue ling,Large demersals (>=90 cm),Cod-likes,792
Merluccius merluccius,European hake,Large demersals (>=90 cm),Cod-likes,621880
Molva molva,Ling,Large demersals (>=90 cm),Cod-likes,19665
Molva,Lings,Large demersals (>=90 cm),Cod-likes,91
Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),Cod-likes,1232836
Pollachius virens,Saithe,Large demersals (>=90 cm),Cod-likes,2372
Gaidropsarus,Rocklings,Large reef assoc. fish (>=90 cm),Cod-likes,341
Merluccius,Hakes,Medium bathydemersals (30 - 89 cm),Cod-likes,2459706
Merluccius gayi gayi,South Pacific hake,Medium bathydemersals (30 - 89 cm),Cod-likes,808802
Antimora rostrata,Blue antimora,Medium bathypelagics (30 - 89 cm),Cod-likes,67
Mora moro,Common mora,Medium bathypelagics (30 - 89 cm),Cod-likes,1881
Halargyreus johnsonii,Slender codling,Medium bathypelagics (30 - 89 cm),Cod-likes,2026
Lepidorhynchus denticulatus,Thorntooth grenadier,Medium bathypelagics (30 - 89 cm),Cod-likes,10126
Theragra chalcogramma,Alaska pollock,Medium benthopelagics (30 - 89 cm),Cod-likes,5182152
Merluccius hubbsi,Argentine hake,Medium benthopelagics (30 - 89 cm),Cod-likes,35542
Micromesistius poutassou,Blue whiting,Medium benthopelagics (30 - 89 cm),Cod-likes,113757
Coelorinchus chilensis,Chilean grenadier,Medium benthopelagics (30 - 89 cm),Cod-likes,557
Moridae,"Codlings, moras",Medium benthopelagics (30 - 89 cm),Cod-likes,147
Phycis phycis,Forkbeard,Medium benthopelagics (30 - 89 cm),Cod-likes,11102
Phycis,"Gunnels, forkbeards",Medium benthopelagics (30 - 89 cm),Cod-likes,278
Laemonema longipes,Longfin codling,Medium benthopelagics (30 - 89 cm),Cod-likes,568340
Merluccius productus,North Pacific hake,Medium benthopelagics (30 - 89 cm),Cod-likes,51497
Trisopterus esmarkii,Norway pout,Medium benthopelagics (30 - 89 cm),Cod-likes,19
Trisopterus minutus,Poor cod,Medium benthopelagics (30 - 89 cm),Cod-likes,76930
Trisopterus luscus,Pouting,Medium benthopelagics (30 - 89 cm),Cod-likes,67505
Macrourus carinatus,Ridge scaled rattail,Medium benthopelagics (30 - 89 cm),Cod-likes,67
Micromesistius australis,Southern blue whiting,Medium benthopelagics (30 - 89 cm),Cod-likes,488606
Merlangius merlangus,Whiting,Medium benthopelagics (30 - 89 cm),Cod-likes,190310
Urophycis brasiliensis,Brazilian codling,Medium demersals (30 - 89 cm),Cod-likes,49327
Gadiformes,Cods,Medium demersals (30 - 89 cm),Cod-likes,173710
Gadidae,"Cods, haddocks",Medium demersals (30 - 89 cm),Cod-likes,200668
Melanogrammus aeglefinus,Haddock,Medium demersals (30 - 89 cm),Cod-likes,18897
Merluccius angustimanus,Panama hake,Medium demersals (30 - 89 cm),Cod-likes,1815
Pseudophycis bachus,Red codling,Medium demersals (30 - 89 cm),Cod-likes,21
Salilota australis,Tadpole codling,Medium demersals (30 - 89 cm),Cod-likes,22105
Bregmaceros mcclellandi,Unicorn cod,Small pelagics (<30 cm),Cod-likes,21208
Panulirus cygnus,Australian spiny lobster,"Lobsters, crabs",Crustaceans,169514
Carpilius corallinus,Batwing coral crab,"Lobsters, crabs",Crustaceans,61
Callinectes,Beautiful swimming crabs,"Lobsters, crabs",Crustaceans,222087
Menippe mercenaria,Black stone crab,"Lobsters, crabs",Crustaceans,59335
Callinectes sapidus,Blue crab,"Lobsters, crabs",Crustaceans,818217
Cardisoma guanhumi,Blue land crab,"Lobsters, crabs",Crustaceans,11881
Panulirus gracilis,Blue spiny lobster,"Lobsters, crabs",Crustaceans,8250
Portunus pelagicus,Blue swimming crab,"Lobsters, crabs",Crustaceans,6350476
Liocarcinus depurator,Blueleg swimcrab,"Lobsters, crabs",Crustaceans,27
Calappa hepatica,Box crab,"Lobsters, crabs",Crustaceans,0
Parribacus caledonicus,Caledonian mitten lobster,"Lobsters, crabs",Crustaceans,323
Jasus lalandii,Cape rock lobster,"Lobsters, crabs",Crustaceans,48171
Panulirus argus,Caribbean spiny lobster,"Lobsters, crabs",Crustaceans,708625
Cervimunida johni,Carrot squat lobster,"Lobsters, crabs",Crustaceans,174761
Nephropidae,Clawed lobsters,"Lobsters, crabs",Crustaceans,260
Palinurus elephas,Common spiny lobster,"Lobsters, crabs",Crustaceans,1338
Decapoda,"Crabs, lobsters, shrimps","Lobsters, crabs",Crustaceans,4272527
Anomura,"Craylets, squat lobsters, hermits","Lobsters, crabs",Crustaceans,11798
Callinectes danae,Dana's swimming crab,"Lobsters, crabs",Crustaceans,4991
Geryon,Deepsea crabs,"Lobsters, crabs",Crustaceans,1223
Chaceon affinis,Deepsea red crab,"Lobsters, crabs",Crustaceans,89
Cancer pagurus,Edible crab,"Lobsters, crabs",Crustaceans,69916
Homarus gammarus,European lobster,"Lobsters, crabs",Crustaceans,5217
Thenus orientalis,Flathead lobster,"Lobsters, crabs",Crustaceans,61384
Portunus trituberculatus,Gazami crab,"Lobsters, crabs",Crustaceans,4508872
Carcinus maenas,Green crab,"Lobsters, crabs",Crustaceans,5795
Sagmariasus verreauxi,Green rock lobster,"Lobsters, crabs",Crustaceans,2596
Diogenidae,Hermit crabs,"Lobsters, crabs",Crustaceans,53374
Scylla serrata,Indo-Pacific swamp crab,"Lobsters, crabs",Crustaceans,283630
Jasus frontalis,Juan Fernandez rock lobster,"Lobsters, crabs",Crustaceans,989
Lithodes,King crabs,"Lobsters, crabs",Crustaceans,2537
Ranina ranina,Kona crab ,"Lobsters, crabs",Crustaceans,30996
Panulirus longipes,Longlegged spiny lobster,"Lobsters, crabs",Crustaceans,33872
Brachyura,Marine crabs,"Lobsters, crabs",Crustaceans,568919
Carcinus aestuarii,Mediterranean shore crab,"Lobsters, crabs",Crustaceans,446
Scyllarides latus,Mediterranean slipper lobster,"Lobsters, crabs",Crustaceans,5
Metanephrops mozambicus,Mozambique lobster,"Lobsters, crabs",Crustaceans,307
Scylla,Mud crabs,"Lobsters, crabs",Crustaceans,42441
Panulirus polyphagus,Mud spiny lobster,"Lobsters, crabs",Crustaceans,49864
Palinurus delagoae,Natal spiny lobster,"Lobsters, crabs",Crustaceans,239
Nephrops norvegicus,Norway lobster,"Lobsters, crabs",Crustaceans,183093
Cancer productus,Pacific rock crab,"Lobsters, crabs",Crustaceans,106
Panulirus versicolor,Painted spiny lobster,"Lobsters, crabs",Crustaceans,4030
Palinurus mauritanicus,Pink spiny lobster,"Lobsters, crabs",Crustaceans,65
Panulirus penicillatus,Pronghorn spiny lobster,"Lobsters, crabs",Crustaceans,4028
Chaceon notialis,Red crab,"Lobsters, crabs",Crustaceans,8516
Paralithodes camtschaticus,Red king crab,"Lobsters, crabs",Crustaceans,670
Jasus edwardsii,Red rock lobster,"Lobsters, crabs",Crustaceans,70560
Chionoecetes japonicus,Red snow crab,"Lobsters, crabs",Crustaceans,340740
Ibacus ciliatus,Sand Crayfish,"Lobsters, crabs",Crustaceans,29190
Panulirus homarus,Scalloped spiny lobster,"Lobsters, crabs",Crustaceans,35319
Metanephrops,Scampi,"Lobsters, crabs",Crustaceans,2197
Scyllaridae,Slipper lobsters,"Lobsters, crabs",Crustaceans,121924
Scyllarides,Slipper lobsters,"Lobsters, crabs",Crustaceans,2
Chionoecetes opilio,Snow crab,"Lobsters, crabs",Crustaceans,102050
Paralomis granulosa,Softshell red crab,"Lobsters, crabs",Crustaceans,57214
Lithodes antarcticus,Southern king crab,"Lobsters, crabs",Crustaceans,51001
Palinurus gilchristi,Southern spiny lobster,"Lobsters, crabs",Crustaceans,11280
Paralomis,Spider crabs,"Lobsters, crabs",Crustaceans,39
Maja squinado,Spinous spider crab,"Lobsters, crabs",Crustaceans,82
Palinuridae,Spiny lobsters,"Lobsters, crabs",Crustaceans,546450
Palinurus,Spiny lobsters,"Lobsters, crabs",Crustaceans,23
Panulirus,Spiny lobsters,"Lobsters, crabs",Crustaceans,227719
Pleuroncodes monodon,Squat Lobster,"Lobsters, crabs",Crustaceans,170965
Portunus,Swimmer crabs,"Lobsters, crabs",Crustaceans,694880
Portunidae,Swimming crabs,"Lobsters, crabs",Crustaceans,1335910
Chionoecetes,"Tanner, snow crabs","Lobsters, crabs",Crustaceans,278490
Portunus sanguinolentus,Three-spot swimming crab,"Lobsters, crabs",Crustaceans,567
Necora puber,Velvet swimcrab,"Lobsters, crabs",Crustaceans,2739
Chaceon maritae,West African geryon,"Lobsters, crabs",Crustaceans,74
Charybdis,Whirlpool swimming crabs,"Lobsters, crabs",Crustaceans,662887
Xanthidae,Xanthidae,"Lobsters, crabs",Crustaceans,7
Eriphia sebana,Smooth redeyed crab,"Lobsters, crabs",Crustaceans,2
Pollicipes pollicipes,Atlantic barnacle,Other demersal invertebrates,Crustaceans,43
Acetes,Acetes shrimps,Shrimps,Crustaceans,1854595
Pandalus montagui,Aesop shrimp,Shrimps,Crustaceans,0
Acetes japonicus,Akiami paste shrimp,Shrimps,Crustaceans,7703174
Pleoticus muelleri,Argentine red shrimp,Shrimps,Crustaceans,18000
Artemesia longinaris,Argentine stiletto shrimp,Shrimps,Crustaceans,68107
Aristeidae,Aristeid shrimps,Shrimps,Crustaceans,12427
Xiphopenaeus kroyeri,Atlantic seabob,Shrimps,Crustaceans,398437
Fenneropenaeus merguiensis,Banana prawn,Shrimps,Crustaceans,1181505
Aristeus antennatus,Blue and red shrimp,Shrimps,Crustaceans,43095
Litopenaeus stylirostris,Blue shrimp,Shrimps,Crustaceans,441186
Crangonidae,Brown shrimps,Shrimps,Crustaceans,31092
Melicertus kerathurus,Caramote prawn,Shrimps,Crustaceans,37290
Haliporoides diomedeae,Chilean knife shrimp,Shrimps,Crustaceans,13811
Heterocarpus reedi,Chilean nylon shrimp,Shrimps,Crustaceans,68826
Palaemonidae,Clawed shrimps,Shrimps,Crustaceans,2
Solenocera crassicornis,Coastal mud shrimp,Shrimps,Crustaceans,14868
Penaeidae,Commercial shrimps and prawns,Shrimps,Crustaceans,8819366
Palaemon serratus,Common prawn,Shrimps,Crustaceans,4902
Crangon crangon,Common shrimp,Shrimps,Crustaceans,5505
Farfantepenaeus brevirostris,Crystal shrimp,Shrimps,Crustaceans,47939
Parapenaeus longirostris,Deepwater rose shrimp,Shrimps,Crustaceans,257894
Palaemon longirostris,Delta prawn,Shrimps,Crustaceans,1028
Metapenaeus endeavouri,Endeavour shrimp,Shrimps,Crustaceans,3686
Fenneropenaeus chinensis,Fleshy prawn,Shrimps,Crustaceans,1246913
Aristaeomorpha foliacea,Giant red shrimp,Shrimps,Crustaceans,578
Penaeus monodon,Giant tiger prawn,Shrimps,Crustaceans,1442727
Metapenaeus ensis,Greasyback shrimp,Shrimps,Crustaceans,253
Penaeus semisulcatus,Green tiger prawn,Shrimps,Crustaceans,578782
Fenneropenaeus indicus,Indian white prawn,Shrimps,Crustaceans,1104523
Metapenaeus,Indo-Pacific prawns,Shrimps,Crustaceans,1957945
Haliporoides sibogae,Jackknife shrimp,Shrimps,Crustaceans,6016
Haliporoides triarthrus,Knife shrimp,Shrimps,Crustaceans,30229
Solenocera agassizii,Kolibri shrimp,Shrimps,Crustaceans,16954
Marsupenaeus japonicus,Kuruma prawn,Shrimps,Crustaceans,249464
Parapenaeopsis,Leafy-legged shrimps,Shrimps,Crustaceans,382053
Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,Crustaceans,681061
Stomatopoda,Mantis shrimps,Shrimps,Crustaceans,2585
Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,8113156
Farfantepenaeus aztecus,Northern brown shrimp,Shrimps,Crustaceans,339450
Heterocarpus vicarius,Northern nylon shrimp,Shrimps,Crustaceans,7514
Farfantepenaeus duorarum,Northern pink shrimp,Shrimps,Crustaceans,59697
Pandalus borealis,Northern prawn,Shrimps,Crustaceans,0
Pandalidae,Northern shrimps,Shrimps,Crustaceans,9685
Litopenaeus setiferus,Northern white shrimp,Shrimps,Crustaceans,926726
Plesionika trispinus,Plesionika trispinus,Shrimps,Crustaceans,26508
Parapenaeopsis sculptilis,Rainbow shrimp,Shrimps,Crustaceans,66365
Farfantepenaeus brasiliensis,Redspotted shrimp,Shrimps,Crustaceans,10577
Penaeus penicillatus,Redtail prawn,Shrimps,Crustaceans,46866
Sicyonia brevirostris,Rock shrimp,Shrimps,Crustaceans,21397
Farfantepenaeus paulensis,Sao Paulo shrimp,Shrimps,Crustaceans,39788
Plesiopenaeus edwardsianus,Scarlet shrimp,Shrimps,Crustaceans,10
Pandalus,Seabed shrimps,Shrimps,Crustaceans,0
Sergestidae,Sergestid shrimp,Shrimps,Crustaceans,1961975
Metapenaeus joyneri,Shiba shrimp,Shrimps,Crustaceans,37167
Dendrobranchiata,Shrimps and prawns,Shrimps,Crustaceans,4147560
Farfantepenaeus subtilis,Southern brown shrimp,Shrimps,Crustaceans,114934
Farfantepenaeus notialis,Southern pink shrimp,Shrimps,Crustaceans,6581
Trachysalambria curvirostris,Southern rough shrimp,Shrimps,Crustaceans,3879660
Litopenaeus schmitti,Southern white shrimp,Shrimps,Crustaceans,111578
Parapenaeopsis hardwickii,Spear shrimp,Shrimps,Crustaceans,35978
Metapenaeus monoceros,Speckled shrimp,Shrimps,Crustaceans,52350
Squilla mantis,Spottail mantis squillid,Shrimps,Crustaceans,183645
Squilla biformis,Squilla biformis,Shrimps,Crustaceans,36108
Squillidae,Squilla mantis shrimps,Shrimps,Crustaceans,2721354
Aristeus varidens,Striped red shrimp,Shrimps,Crustaceans,29
Penaeus,Tiger prawns,Shrimps,Crustaceans,1809385
Protrachypene precipua,Titi shrimp,Shrimps,Crustaceans,42620
Melicertus latisulcatus,Western king prawn,Shrimps,Crustaceans,250403
Litopenaeus occidentalis,Western white shrimp,Shrimps,Crustaceans,58214
Litopenaeus vannamei,Whiteleg shrimp,Shrimps,Crustaceans,225174
Farfantepenaeus californiensis,Yellowleg shrimp,Shrimps,Crustaceans,341355
Pleoticus robustus,Royal red shrimp,Shrimps,Crustaceans,3578
Hippoglossus hippoglossus,Atlantic halibut,Large flatfishes (>=90 cm),Flatfishes,7
Paralichthys olivaceus,Bastard halibut,Large flatfishes (>=90 cm),Flatfishes,216196
Pleuronectes platessa,European plaice,Large flatfishes (>=90 cm),Flatfishes,56719
Scophthalmus maximus,Turbot,Large flatfishes (>=90 cm),Flatfishes,9033
Paralichthyidae,Largetooth flounders,Large reef assoc. fish (>=90 cm),Flatfishes,208262
Paralichthys,Paralichthyid flounders,Large reef assoc. fish (>=90 cm),Flatfishes,4132
Microchirus,Soles,Large reef assoc. fish (>=90 cm),Flatfishes,777
Cynoglossidae,Tonguefishes,Large reef assoc. fish (>=90 cm),Flatfishes,432
Hippoglossoides platessoides,American plaice,Small to medium flatfishes (<90 cm),Flatfishes,14
Scophthalmus rhombus,Brill,Small to medium flatfishes (<90 cm),Flatfishes,5981
Limanda limanda,Common dab,Small to medium flatfishes (<90 cm),Flatfishes,15161
Solea solea,Common sole,Small to medium flatfishes (<90 cm),Flatfishes,246020
Platichthys flesus,European flounder,Small to medium flatfishes (<90 cm),Flatfishes,11810
Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),Flatfishes,264027
Bothus mancus,Flowery flounder,Small to medium flatfishes (<90 cm),Flatfishes,84
Lepidorhombus boscii,Fourspot megrim,Small to medium flatfishes (<90 cm),Flatfishes,11
Reinhardtius hippoglossoides,Greenland halibut,Small to medium flatfishes (<90 cm),Flatfishes,11
Psettodes erumei,Indian halibut,Small to medium flatfishes (<90 cm),Flatfishes,295986
Symphurus atramentatus,Inkspot tonguefish,Small to medium flatfishes (<90 cm),Flatfishes,1043
Bothidae,Lefteye flounders,Small to medium flatfishes (<90 cm),Flatfishes,121845
Microstomus kitt,Lemon sole,Small to medium flatfishes (<90 cm),Flatfishes,10758
Bothus pantherinus,Leopard flounder,Small to medium flatfishes (<90 cm),Flatfishes,2543
Lepidorhombus whiffiagonis,Megrim,Small to medium flatfishes (<90 cm),Flatfishes,11307
Lepidorhombus,Megrims,Small to medium flatfishes (<90 cm),Flatfishes,26827
Austroglossus pectoralis,Mud sole,Small to medium flatfishes (<90 cm),Flatfishes,10146
Syacium ovale,Oval flounder,Small to medium flatfishes (<90 cm),Flatfishes,135295
Paralichthys microps,Paralichthys microps,Small to medium flatfishes (<90 cm),Flatfishes,1169
Rhombosolea,Rhombosolid flounders,Small to medium flatfishes (<90 cm),Flatfishes,148
Pleuronectidae,Righteye flounders,Small to medium flatfishes (<90 cm),Flatfishes,1455020
Solea senegalensis,Senegalese sole,Small to medium flatfishes (<90 cm),Flatfishes,799
Achirus,Soles,Small to medium flatfishes (<90 cm),Flatfishes,114120
Austroglossus,Soles,Small to medium flatfishes (<90 cm),Flatfishes,1
Solea,Soles,Small to medium flatfishes (<90 cm),Flatfishes,916
Soleidae,Soles,Small to medium flatfishes (<90 cm),Flatfishes,162476
Engyophrys sanctilaurentii,Speckled-tail flounder,Small to medium flatfishes (<90 cm),Flatfishes,142
Citharus linguatula,Spotted flounder,Small to medium flatfishes (<90 cm),Flatfishes,258
Microchirus variegatus,Thickback sole,Small to medium flatfishes (<90 cm),Flatfishes,433
Cyclopsetta querna,Toothed flounder,Small to medium flatfishes (<90 cm),Flatfishes,4458
Scophthalmidae,Turbots,Small to medium flatfishes (<90 cm),Flatfishes,55217
Psettodidae,"Turbots, Indian halibuts",Small to medium flatfishes (<90 cm),Flatfishes,197390
Dicologlossa cuneata,Wedge sole,Small to medium flatfishes (<90 cm),Flatfishes,11808
Austroglossus microlepis,West coast sole,Small to medium flatfishes (<90 cm),Flatfishes,3
Glyptocephalus cynoglossus,Witch flounder,Small to medium flatfishes (<90 cm),Flatfishes,1390
Pseudopleuronectes herzensteini,Yellow striped flounder,Small to medium flatfishes (<90 cm),Flatfishes,402126
Chirocentrus dorab,Dorab wolfherring,Large benthopelagics (>=90 cm),Herring-likes,1604730
Chirocentrus,Wolf herrings,Large benthopelagics (>=90 cm),Herring-likes,886824
Chirocentrus nudus,Whitefin wolf-herring,Large pelagics (>=90 cm),Herring-likes,344626
Alosa alosa,Allis shad,Medium pelagics (30 - 89 cm),Herring-likes,400
Brevoortia pectinata,Argentine menhaden,Medium pelagics (30 - 89 cm),Herring-likes,757
Clupea harengus,Atlantic herring,Medium pelagics (30 - 89 cm),Herring-likes,310797
Ethmalosa fimbriata,Bonga shad,Medium pelagics (30 - 89 cm),Herring-likes,0
Ilisha elongata,Elongate ilisha,Medium pelagics (30 - 89 cm),Herring-likes,1280420
Tenualosa ilisha,Hilsa shad,Medium pelagics (30 - 89 cm),Herring-likes,4652061
Sardinella maderensis,Madeiran sardinella,Medium pelagics (30 - 89 cm),Herring-likes,3
Clupea pallasii pallasii,Pacific herring,Medium pelagics (30 - 89 cm),Herring-likes,420860
Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,17620682
Alosa,Shads,Medium pelagics (30 - 89 cm),Herring-likes,525
Tenualosa toli,Toli shad,Medium pelagics (30 - 89 cm),Herring-likes,8712
Alosa fallax,Twaite shad,Medium pelagics (30 - 89 cm),Herring-likes,56
Ilisha africana,West African ilisha,Medium pelagics (30 - 89 cm),Herring-likes,0
Dorosoma cepedianum,American gizzard shad,Medium pelagics (30 - 89 cm),Herring-likes,9187
Brevoortia patronus,Gulf menhaden,Medium pelagics (30 - 89 cm),Herring-likes,10130791
Pellona harroweri,American coastal pellona,Small pelagics (<30 cm),Herring-likes,20979
Clupea bentincki,Araucanian herring,Small pelagics (<30 cm),Herring-likes,7473563
Opisthonema oglinum,Atlantic thread herring,Small pelagics (<30 cm),Herring-likes,431388
Sardinella lemuru,Bali sardinella,Small pelagics (<30 cm),Herring-likes,2635283
Nematalosa nasus,Blochs gizzard shad,Small pelagics (<30 cm),Herring-likes,18516
Herklotsichthys quadrimaculatus,Bluestripe herring,Small pelagics (<30 cm),Herring-likes,1138
Sardinella brasiliensis,Brazilian sardinella,Small pelagics (<30 cm),Herring-likes,1319827
Anodontostoma chacunda,Chacunda gizzard shad,Small pelagics (<30 cm),Herring-likes,182759
Clupanodon thrissa,Chinese gizzard shad,Small pelagics (<30 cm),Herring-likes,1028477
Konosirus punctatus,Dotted gizzard shad,Small pelagics (<30 cm),Herring-likes,195645
Sardina pilchardus,European pilchard,Small pelagics (<30 cm),Herring-likes,1123993
Sprattus sprattus,European sprat,Small pelagics (<30 cm),Herring-likes,15521
Sprattus fuegensis,Falkland sprat,Small pelagics (<30 cm),Herring-likes,145917
Harengula clupeola,False herring,Small pelagics (<30 cm),Herring-likes,5772
Harengula,False herrings,Small pelagics (<30 cm),Herring-likes,25146
Sardinella fimbriata,Fringescale sardinella,Small pelagics (<30 cm),Herring-likes,1141851
Sardinella gibbosa,Goldstripe sardinella,Small pelagics (<30 cm),Herring-likes,113551
Clupeidae,"Herrings, sardines, menhadens",Small pelagics (<30 cm),Herring-likes,7298456
Sardinella longiceps,Indian oil sardine,Small pelagics (<30 cm),Herring-likes,7009580
Pellona ditchela,Indian pellona,Small pelagics (<30 cm),Herring-likes,40710
Sardinella zunasi,Japanese sardinella,Small pelagics (<30 cm),Herring-likes,54832
Hilsa kelee,Kelee shad,Small pelagics (<30 cm),Herring-likes,15955
Ethmidium maculatum,Pacific menhaden,Small pelagics (<30 cm),Herring-likes,420289
Lile stolifera,Pacific piquitinga,Small pelagics (<30 cm),Herring-likes,1989
Opisthonema libertate,Pacific thread herring,Small pelagics (<30 cm),Herring-likes,2747011
Dussumieria acuta,Rainbow sardine,Small pelagics (<30 cm),Herring-likes,448127
Dussumieria,Rainbow sardines,Small pelagics (<30 cm),Herring-likes,615530
Harengula humeralis,Redear herring,Small pelagics (<30 cm),Herring-likes,21
Sardinella aurita,Round sardinella,Small pelagics (<30 cm),Herring-likes,1745955
Sardinella,Sardinellas,Small pelagics (<30 cm),Herring-likes,20891972
Harengula jaguana,Scaled herring,Small pelagics (<30 cm),Herring-likes,9563
Spratelloides gracilis,Silverstriped round herring,Small pelagics (<30 cm),Herring-likes,85474
Dussumieria elopsoides,Slender rainbow sardine,Small pelagics (<30 cm),Herring-likes,15543
Etrumeus whiteheadi,Whiteheads round herring,Small pelagics (<30 cm),Herring-likes,954107
Dorosoma,Gizzard shads,Small pelagics (<30 cm),Herring-likes,8
Etrumeus sadina,Red-eye round herring,Small pelagics (<30 cm),Herring-likes,0
Spratelloides,Round herrings,Small reef assoc. fish (<30 cm),Herring-likes,1150
Pteriomorphia,"Clams, cockles, arkshells",Cephalopods,Molluscs,9902
Mollusca,"Clams, seasnails, squids, octopuses",Cephalopods,Molluscs,13429515
Haliotis,Abalones,Other demersal invertebrates,Molluscs,21497
Haliotidae,"Abalones, ear shells",Other demersal invertebrates,Molluscs,74954
Archaeogastropoda,"Abalones, winkles",Other demersal invertebrates,Molluscs,0
Crassostrea virginica,American cupped oyster,Other demersal invertebrates,Molluscs,3780963
Zidona dufresnei,Angulate volute,Other demersal invertebrates,Molluscs,0
Arcidae,Ark clams,Other demersal invertebrates,Molluscs,607338
Anadara,"Arks, blood cockles",Other demersal invertebrates,Molluscs,109067
Arca,"Arks, turkey wings",Other demersal invertebrates,Molluscs,663320
Terebridae,Augur shells,Other demersal invertebrates,Molluscs,1698
Tapes rhomboides,Banded carpet shell,Other demersal invertebrates,Molluscs,10901
Donax,Bean clams,Other demersal invertebrates,Molluscs,36900
Hippopus hippopus,Bear paw clam,Other demersal invertebrates,Molluscs,2108
Pinna bicolor,Bicolor pen shell,Other demersal invertebrates,Molluscs,7657
Haliotis rubra,Blacklip abalone,Other demersal invertebrates,Molluscs,45680
Mytilus edulis,Blue mussel,Other demersal invertebrates,Molluscs,80061
Perna viridis,Brown mussel,Other demersal invertebrates,Molluscs,151014
Buccinidae,Buccinidae,Other demersal invertebrates,Molluscs,68628
Ruditapes,Carpet shells,Other demersal invertebrates,Molluscs,9854
Ostrea chilensis,Chilean flat oyster,Other demersal invertebrates,Molluscs,3110
Mytilus chilensis,Chilean mussel,Other demersal invertebrates,Molluscs,53609
Aulacomya ater,Chilean ribbed mussel,Other demersal invertebrates,Molluscs,68387
Semele solida,Chilean semele,Other demersal invertebrates,Molluscs,159822
Chitonidae,Chitons,Other demersal invertebrates,Molluscs,0
Choromytilus chorus,Choro mussel,Other demersal invertebrates,Molluscs,7275
Bivalvia,Clams,Other demersal invertebrates,Molluscs,3573120
Cardiidae,Cockles,Other demersal invertebrates,Molluscs,333
Trochus niloticus,Commercial top,Other demersal invertebrates,Molluscs,6568
Cerastoderma edule,Common cockle,Other demersal invertebrates,Molluscs,2233
Cardium edule,Common edible cockle,Other demersal invertebrates,Molluscs,6053
Littorina littorea,Common periwinkle,Other demersal invertebrates,Molluscs,2
Lambis lambis,Common spider conch,Other demersal invertebrates,Molluscs,791
Conidae,Cone shells,Other demersal invertebrates,Molluscs,2
Venerupis corrugata,Corrugated venus,Other demersal invertebrates,Molluscs,5273
Cypraeidae,Cowrys,Other demersal invertebrates,Molluscs,0
Crassostrea,Cupped oysters,Other demersal invertebrates,Molluscs,113509
Glycymeris glycymeris,Dog cockle,Other demersal invertebrates,Molluscs,81044
